"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1002.5","1012.5","1004.3","2022-05-01 23:41","1001.2","2022-05-01 15:32","21.6","25.0","2022-05-01 11:59","17.4","2022-05-01 23:59","16.9","75","64","2022-05-01 11:59","2.5","360","10.7","20","2022-05-01 11:21","0.5","2.5","0.5","2022-05-01 23:53","0.5","2022-05-01 23:53","0.4","3.1","13.22","16.5","-1.4","8","2022-05-01 13:00","9.8"
"02","1003.6","1013.8","1005.1","2022-05-02 00:32","1002.6","2022-05-02 02:47","17.1","18.9","2022-05-02 11:06","15.9","2022-05-02 06:20","15.8","92","88","2022-05-02 09:59","1.6","360","8.2","20","2022-05-02 01:04","16.0","17.6","1.5","2022-05-02 00:34","2.5","2022-05-02 00:34","0.0","0.0","6.13","8.5","-0.1","3","2022-05-02 12:00","10.0"
"03","1004.3","1014.3","1005.4","2022-05-03 09:53","1003.3","2022-05-03 05:07","21.2","25.8","2022-05-03 13:50","16.1","2022-05-03 00:30","17.8","81","67","2022-05-03 13:02","0.8","200","5.1","320","2022-05-03 00:26","T","0.7","T","2022-05-03 11:03","T","2022-05-03 11:03","0.3","2.3","13.35","20.0","-1.3","6","2022-05-03 13:00","10.0"
"04","1002.6","1012.5","1004.5","2022-05-04 00:01","1000.9","2022-05-04 15:34","24.6","28.8","2022-05-04 15:17","21.3","2022-05-04 04:04","21.2","83","64","2022-05-04 15:51","1.0","340","5.8","10","2022-05-04 17:32","0.5","1.6","0.5","2022-05-04 03:24","0.5","2022-05-04 03:24","1.2","9.2","14.16","11.0","-0.8","7","2022-05-04 11:00","9.5"
"05","1001.1","1011.0","1002.3","2022-05-05 08:40","999.7","2022-05-05 16:27","24.8","27.8","2022-05-05 12:15","22.9","2022-05-05 00:28","21.3","81","70","2022-05-05 11:04","1.3","350","7.0","300","2022-05-05 11:42","0.0","0.0","0.0","...","0.0","...","7.4","56.5","22.21","10.5","5.2","9","2022-05-05 12:00","6.3"
"06","1001.4","1011.3","1002.6","2022-05-06 08:26","1000.1","2022-05-06 14:59","26.1","30.7","2022-05-06 14:17","22.3","2022-05-06 04:30","21.2","75","54","2022-05-06 16:19","1.2","340","6.5","10","2022-05-06 14:35","0.0","0.0","0.0","...","0.0","...","10.7","81.6","26.42","16.5","4.5","9","2022-05-06 12:00","4.0"
"07","1002.4","1012.2","1003.9","2022-05-07 22:07","1000.8","2022-05-07 16:05","26.8","32.1","2022-05-07 14:57","23.2","2022-05-07 03:50","20.9","71","40","2022-05-07 14:12","1.6","350","7.6","350","2022-05-07 15:37","0.0","0.0","0.0","...","0.0","...","8.9","67.8","24.17","18.0","-4.5","9","2022-05-07 12:00","6.5"
"08","1002.8","1012.7","1004.1","2022-05-08 11:02","1001.6","2022-05-08 16:33","25.3","29.6","2022-05-08 14:16","22.3","2022-05-08 06:44","21.2","78","61","2022-05-08 11:46","1.4","340","7.3","350","2022-05-08 15:26","T","0.6","T","2022-05-08 06:12","T","2022-05-08 06:12","1.5","11.4","13.81","12.0","2.2","7","2022-05-08 12:00","9.5"
"09","1002.5","1012.4","1004.0","2022-05-09 07:57","1000.8","2022-05-09 16:39","25.0","28.2","2022-05-09 13:58","23.0","2022-05-09 20:11","21.5","82","63","2022-05-09 15:38","1.4","10","7.3","340","2022-05-09 12:08","1.0","1.2","0.5","2022-05-09 19:27","0.5","2022-05-09 19:27","0.3","2.3","10.60","12.8","-2.6","5","2022-05-09 14:00","10.0"
